Title From File,Job Title Web,Job Salary,Job Location,Job Type,Description,City,County,Region,New Salary,New Job Type,Level of Experience
Assistant Pre School Manager,Deputy Nursery Manager,£27000/annum,CM20 Little Parndon Essex,Permanent,**Deputy Nursery Manager** **Harlow Based** **Salary 27K**  Our leading nursery client in Harlow is looking for a Deputy Nursery Manager. This is a full-time position offering a salary of £27000 per year with an extensive benefits package.  The key responsibilities for a Deputy Nursery Manager is to: Use a friendly approach with parents and carers children and colleagues Provide a safe stimulating and educational environment for the children to learn play explore and develop Maintain a homely environment for all children which is clean and organised Implement interesting and inspiring activities for children to learn through play Build relationships with Key Children record their interests and achievements through observations Be always available for your Key Children having a responsibility for your children’s care and development Communicate with parents/carers through our Satchel app face to face meetings or in writing Understand and implement the company Policies and Procedures Pedagogy and core values across the nursery Safeguarding is a shared responsibility to protect children parents and staff from harm.  To be successful for this role you should: Hold a full and relevant Early Years Level 3 Childcare Qualification or higher Demonstrate sound knowledge of the EYFS guidelines Have good time management meeting deadlines Excellent organisational ability and attention to detail Strong written and verbal communication skills.  What we can offer you: 50% childcare discount 6 fully paid sick days Additional day off for your birthday Reward and recognition schemes including annual awards Cashback heath plan covering dental opticians physio and alternative therapies Free virtual GP appointments and cashback on prescriptions Employee benefits portal including 100's of high street discounts Access to 24 hour counselling support including financial and debt advice Discounted gym membership.  Tigerlily Childcare Recruitment are here to help you to make the right choice in your next career move - if you meet the criteria set above or would like Early Years Career advice please apply today. Tigerlily specialise in recruiting across the early years sector and have roles including Nursery Manager Deputy Manager Assistant Manager Third in Charge Supernumerary roles Room Leader Nursery Nurse Early Years Practitioner Nursery Chef Montessori and EYFS.,Little Parndon,Essex,Eastern,27000,Permanent,
Assistant Pre School Manager,Nursery Deputy Manager,£32000 - £37000/annum,South West London Greater London,Permanent,"We are looking for a qualified and experienced Nursery Deputy Manager with proven track record and strong leadership skills to join our growing team based in Vauxhall South West London.  The Nursery is located in a desirable new development and offers a bright open plan space for children to learn and develop. Plenty of outdoor space is offered within the immediate vicinity: ideally located near parks playground and a farm. The nursery also benefits from easy access to bus/train/tube station.  The ideal candidate Nursery Deputy Manager should be willing and able to grow in the Management role rapidly growing and becoming the Nursery Manager.  Key Role and Responsibilities:  The successful Nursery Deputy Manager will have to perform the following key duties:   	Manage and coach a growing team of Educators alongside the Nursery Manager 	Deliver on the job training guidance and support to the team 	Stringly involved in the invoicing and funding process 	Be responsible for planning and logistics running the nursery routine managing sufficient ratios and rotas 	Risk assess the nursery through the day every day and actioning; maintaining and critically assessing all policies procedures and practice to drive improvement 	Protect and promote the health and well-being of children 	Promote positive relationships in the early years setting 	Develop good relationship with parents and ability to report on their growth and progress 	Monitor children’s progress to ensure they reach their developmental targets   Key Requirements:   	Experience as a Nursery Deputy Manager at a ""Good/Outstanding"" nursery 	Relevant Early Years Qualification Level 3 or above 	Proven experience with the Toddler or Pre-school rooms 	Minimum 4 year’ experience of working in a nursery/early years setting 	Proven ability to provide play and learning opportunities for children 	Expertise with funding and invoicing though nursery app 	Ability to form good interactions with children and use own initiative 	Good knowledge of the EYFS 	Positive outlook 	Be flexible and patient 	Be able to communicate effectively within a team   Benefits:   	Competitive salary 	Pension benefits 	Excellent training support and career development guidance 	Performance related bonus 	Loyalty Bonus 	Up to 38 days holiday a year (including bank holidays) to start (rises with length of service) 	Personal development fund   If you are bubbly energetic and are looking for a new setting where you will be loved by the staff as well as the children apply today!",South West London,Greater London,,34500,Permanent,
Assistant Pre School Manager,Deputy Nursery Manager,£29000 - £35000/annum,Slough Berkshire,Permanent,"About Us:  Perms Direct is a small family run agency that finds pleasure in knowing that we do everything we can to provide nurseries with the adequate staff. To ensure nurseries can run and maintain a bright future for all children across London. We believe that every child should get equal learning opportunities to develop their imagination. To be able to spark a child's imagination so they can discover new possibilities and have a shot at building their future. We are currently hiring a qualified Nursery Deputy Manager. Ideally you must hold a level 3 qualification at least or equivalent in childcare with a few years experience and an outstanding track record with children.  We are committed to providing exceptional childcare and early education services for children aged 0-5 years. Our passionate team of professionals creates a nurturing and stimulating environment where every child can flourish. We are now seeking a dedicated Deputy Nursery Manager to join our team and help us continue to provide outstanding care and education.  Job Description:  As a Deputy Nursery Manager you will play a pivotal role in supporting the Nursery Manager in the day-to-day operation of the nursery. You will be responsible for ensuring the highest standards of care and education are maintained promoting a safe and inspiring environment for both children and staff.  Key Responsibilities:   	Collaborate with the Nursery Manager in overseeing the daily operation of the nursery. 	Lead and motivate a team of childcare professionals providing guidance and support. 	Ensure compliance with all regulatory and safeguarding requirements. 	Assist in the development and implementation of the nursery's curriculum. 	Foster strong relationships with parents providing feedback and addressing their concerns. 	Conduct regular staff assessments and assist in staff training and development. 	Assist in budget management and resource allocation.   Qualifications/Requirements:   	Level 3 or above qualification in Early Years Education and Childcare (e.g. NVQ CACHE or equivalent). 	Proven experience in a supervisory or leadership role within an early years setting. 	Sound knowledge of early years regulations EYFS and safeguarding practices. 	Strong communication and interpersonal skills. 	Leadership abilities with the capacity to inspire and motivate a team. 	Passion for providing high-quality childcare and education.   Once we have received your application with your most updated CV a member of our team will be in contact to arrange an interview.",Slough,Berkshire,South East,32000,Permanent,
Assistant Pre School Manager,Deputy Nursery Manager,£30615 - £33910/annum £30615-£33910 per annum,Staines Surrey,Permanent,SummaryWe have an opportunity for you to join us at Childbase Partnership an employee-owned company in the role of Deputy Nursery Manager at our 133 place Knowle Green Day Nursery in Staines. You will join us on a full time basis and will work a variety of shifts between the hours of 06:45am-18:30pm Monday-Friday all-year-round. We are offering a pay rate of £15.70-£17.39 per hour with this role (£30615-£33910 per annum when working 37.5 hours a week).We are seeking a very special person to join us in this supernumerary leadership role. Someone who:holds an early years qualification at level three or above and has demonstrable experience of working in a leadership role in a nursery settinghas excellent knowledge of the EYFS and statutory requirements and through role-modelling mentoring coaching supervision and effective performance management can inspire a large team to deliver outstanding outcomes for childrencan support the Nursery Manager to meet targets relating to occupancy revenue and staff retention and resume overall responsibility for the nursery in the manager's absencewill uphold exemplary levels of customer care champion partnership working and promote the company values at all times.When you join our partnership you will be greatly rewarded with a range of benefits which include:an annual tax-free dividend when the company performs well; for the year 2022 every colleague received a dividend payment of up to £3000 for those working full time (prorated based on hours worked for others)Perkbox access offering various retail discounts and reduced ticket prices on days out'recommend a friend' bonuses of £1000 every time you successfully refer someone to join our partnershipchildcare discount from day one; 50% for your children and/or 20% for your grandchildrencycle to work schemeannual savings club which offers you 3% interest on the money you savesalary advance or hardship loan if you require financial support in unexpected circumstancesfully-paid enhanced DBS check and regular renewalscomplimentary breakfast lunch and refreshments when you are at work25 days of annual leave to start (pro rata for part time roles) which increases with length of service and there is the option to buy and sell daysThrive mental health app employee assistance scheme occupational health service and private medical careannual conference and awards event at which individual and team achievements are recognisedteam dinners and a £100 bonus payment to celebrate outstanding Ofsted outcomescareer progression and opportunities for future promotion across our partnership.Please note terms and conditions apply to some of our benefits and financial rewards.The personal and professional development of colleagues is important to us and an extensive calendar of training both face-to-face and online is available to everyone. Two annual team inset days are held for colleagues in our nurseries and apprenticeships in early years and in team leading are offered through our in-house Training Academy of Excellence.As employee-owners we believe that a set of core values which apply to everything we do across our partnership are fundamental to our ongoing success. Our values are:we all belongwe are determined to be excellentwe own our futurewe have a meaningful voicewe are committed to change.As part of our commitment to change we are involved in various eco-initiatives which support us to uphold our pledge to ensure a sustainable future for the next generation and beyond. Initiatives across our nurseries include Eco-Schools Cool Earth Project and Food for Life.Do you share our values? Then join us; apply today to become a Childbase partner. Successful applicants will need to provide 'right to work in the UK' documentation and evidence of any qualifications essential to the role undertake a DBS check and provide satisfactory references prior to commencing employment with us. If your application is successful our Recruitment and Compliance Team will be there to support you through our onboarding process every step of the way.,Staines,Surrey,South East,32262.5,Permanent,
Assistant Pre School Manager,Nursery Deputy Manager,£26000 - £29000/annum,Finchley Greater London,Permanent,"We are looking for a qualified and experienced Deputy Manager with proven track record and strong leadership skills to join our growing team based in Finchley N3 North London.  Key Role and Responsibilities:  The successful candidate will have to perform the following key duties:    Manage and coach a growing team of Educators alongside the Nursery Manager  Deliver on the job training guidance and support to the team  Strongly involved in the invoicing and funding process  Be responsible for planning and logistics running the nursery routine managing sufficient ratios and rotas  Risk assess the nursery through the day every day and actioning; maintaining and critically assessing all policies procedures and practice to drive improvement  Protect and promote the health and well-being of children  Promote positive relationships in the early years setting  Develop good relationship with parents and ability to report on their growth and progress  Monitor children’s progress to ensure they reach their developmental targets   Key Requirements:    Experience as a 3rd in charge or Deputy at a ""Good/Outstanding"" nursery  Relevant Early Years Qualification Level 3 or above  Proven experience with the Toddleror Pre-school rooms  Minimum 3 year’ experience of working in a nursery/early years setting  Proven ability to provide play and learning opportunities for children  Ability to form good interactions with children and use own initiative  Good knowledge of the EYFS  Positive outlook  Be flexible and patient  Be able to communicate effectively within a team   Benefits:    Competitive salary  Pension benefits  Paid holidays  Excellent career opportunities and support  Excellent training support and career development guidance  28 days holiday a year   The nursery also benefits from easy access to bus/train/tube station. Please apply now and our team will be in touch.",Finchley,Greater London,,27500,Permanent,
Assistant Pre School Manager,Deputy Nursery Manager,£30000 - £34000/annum,Walton-on-Thames Surrey,Permanent,**Deputy Early Years Manager** **Salary Up to £34K!** **Walton on Thames Surrey**  Our client in a Walton-on-Thames setting is part of a chain with this being the largest most impressive nursery yet with space for up to 75 children. With lots of natural light a beautiful townscape feature wall and childcare professionals are trained to create a nurturing and enriching atmosphere promoting the physical emotional cognitive and social development of children.  Summary: Looking for a deputy manager to assist the Nursery Manager to provide professional leadership and management of the nursery and to help ensure that all children receive the highest standards of care and education. In the absence of the Early Years Manager you will undertake the overall day-to-day management of the nursery including becoming the named Designated Safeguarding Lead. Must have had experience working in a busy nursery setting in a management position. This role will be 40 hours per week.   Benefits: •    20 days annual leave increasing with length of service in addition to bank holidays •    Discounted childcare from day 1 •    Birthday day off •    Company pension scheme •    Recommendations and introductions bonus •    Comprehensive training programme and career development •    Time off for volunteering/charity work •    Length of service awards •    Free club membership (x1 child) •    Discounted holiday camp places (x1 child)  Tigerlily Childcare are here to help you to make the right choice in your next career move - if you meet the criteria set above or would like Early Years Career advice please apply today. Tigerlily specialise in recruiting across the early years sector and have roles including Nursery Manager Deputy Manager Assistant Manager Third in Charge Supernumerary roles Room Leader Nursery Nurse Early Years Practitioner Nursery Chef Montessori and EYFS.,Walton-on-Thames,Surrey,South East,32000,Permanent,
Assistant Pre School Manager,Nursery Deputy Manager,£30000 - £32000/annum Great benefits package,Chertsey Surrey,Permanent,This is a great chance to join an established and growing daycare nursery in a permanent role as the Deputy Manager. You will join their team in their Surrey setting to work alongside the room leaders with the main focus on quality and provision and deputising for the Manager when necessary.  You will set and oversee high standards of physical emotional social and intellectual care for children through providing floor-based training and development for staff within the setting. You will build and maintain strong partnerships with parents to enable children’s needs to be met and champion the core values and ethos of the company.  In addition to a great salary you can expect an excellent package of benefits including professional development with financial support towards qualifications bonus pension paid overtime or time off in lieu free lunch free parking paid birthday off and much more.  Responsibilities:    To keep the children safe and happy  To develop an educational environment for all the children  To be the first point of contact for room leaders  To be an innovative and supportive leader and contribute towards an effective and supportive team environment   For full details of the role please call one of our experienced consultants today.,Chertsey,Surrey,South East,31000,Permanent,
Assistant Pre School Manager,Deputy Nursery Manager,£25000 - £26000/annum + Benefits,W3 Acton Greater London,Permanent,"Are you a Senior Room Leader or Third in Charge looking to progress?  A leading group of Independent Montessori Nurseries and Preschools in West London are currently recruiting for a Deputy Manager -TERM TIME for their small and beautiful 36 place ‘Good’ Ofsted Rated nursery at Acton W3 location.  We are looking for passionate Practitioner who has worked at a senior level and now ready to take on the next step to Deputy Manager role.  Must have strong knowledge of the EYFS good communication organisational and interpersonal skills. The individual must be highly motivated and have a positive attitude towards working with children. The ideal candidate will have a minimum of three years post qualifying experience with preferably at least one year in a senior position or in a role that has some exposure to senior responsibilities. Ability of understanding Management Structure. Good mental and physical health. Friendly flexible approach. Willingness to learn. Full training provided.  OPTION for Term Time (38 Weeks) or All Year Round (52 Weeks) permanent role  Hours - 40 hours/week between 8am to 6pm  Salary Offered – £25000 to £26000 Pro Rata  (£12 - £12.50 Hour)  Duties & Responsibilities for Deputy Manager are as below but not limited to-    Deputise for the Manager.  Oversee the smooth running of the nursery.  Lead the staff team to deliver high quality practice within the nursery.  Ensure a high standard of physical emotional social and intellectual care and development for children placed in the Day Nursery.  Observe each child’s progress and report on achievements looking for progression and continuity alongside the Early Years Foundation Stage.  Ensure that no child is ever left on their own in the room / nursery / outing.  Understand and participate in the key person system. To ensure that your own key children learning journey/ profiles are up to date and maintained at the required quality level.     Deliver the Early Years Foundation Stage framework and any other appropriate guidance for young children in accordance with nursery’s policy and guidelines.  Action and monitor all child safeguarding / protection issues / accidents to ensure that any remedial action is taken immediately. Ensure close monitoring of children about whom there are concerns.  Carry out health and safety checks as required to ensure the room / nursery is tidy safe clean and secure for children staff parents/carers and visitors .  Participate in free flow systems. This aids children’s development in self-assurance independence making choices and self-selecting.  Promoting positive relationships with parents children and colleagues.     Experience  Qualification & Skills Required for the ideal Deputy Manager:    Level 3 qualification in Childcare / Early Years  You may have experience of the following: Third in Charge Room Leader Room Supervisor Room Manager  Training in Child Protection and Safeguarding Children.  Training in Behaviour Management.  Paediatric First Aid certificate.  Fluency in written and spoken English and an ability to write reports as directed by the manager.  Strong knowledge of the EYFS.       Staff Benefits Package:  Excellent base salary  28 days holidays including Bank Holidays  Half day off on your Birthday  Funded training courses to develop your career  Financial support towards further qualifications  Career progression and promotion opportunities  Increased salary for Level 3 Forest School Leaders  Health care benefits including optical dental chiropody and therapy (physio and osteo)  Westfield Rewards - Exclusive special offers and discounts from more than 450 High Street and online retailers.  Free 24 hours counselling and advice line on wide range of issues  Ofsted ""Outstanding"" outcome - ""M&S gift voucher"" for each staff  Staff discount for childcare  Pension Scheme    The positions are subject to an Enhanced DBS certificate and references.  If you have the relevant experience & qualification and would like to be a part of a progressive team please send your cv",Acton,Greater London,,25500,Permanent,
Assistant Pre School Manager,Deputy Nursery Manager - Full Time,£31300 - £33700/annum,New Cross London,Permanent,We put people before profit: work for a family of nurseries with heart“You never feel alone at LEYF - there’s always someone to turn to.” - Selamawit Nursery Manager We’re the London Early Years Foundation or LEYF Nurseries for short; a family of 40 nurseries. Our people love working for us because we focus on the child and their family and give them the best start in life.LEYF is known for quality teachers - we give you strong in-house training and access to promotion. Our nurseries feel independent and community focused and teams take care of each other. You join a family of nurseries with a great support network.What’s in it for you?“I wanted more job satisfaction so I came back to LEYF.”- Sunita Nursery Manager Lots of training promotions and a good salary for the sector Flexible working contract choicesGenerous pension at 7% from us (1% from you) 70% discount on childcare fees Upto 35 days off a year including 8 bank holidays 3 days off between Christmas and New Year and your birthday (pro-rated for part-time hours) Sector-leading parental leave Many other benefits that take care of you including accessto the Headspace app shopping discounts annual conference and money for team celebrationsA bit about the role “I have received a great deal of support recognition and training always having someone I can talk to.” - Marta Nursery Manager We know you work in Early Years because you love helping children develop and learn. You are warm and keen to give children the best education to succeed in life.You’ll have lots of time creating fun activities for children but you’ll also support the Nursery Manager in the smooth running of the nursery. This will involve helping support the team as well as helping with nursery finances staffing health and safety partnering with parents and ensuring the quality of the curriculum.Every nursery shares LEYF’s unique teaching model. But you will have the freedom to be creative to suit how the children learn best. Whether you hop on a train to the Science Museum take a bus to make friends at a nearby LEYF nursery or bake with your nursery chef it’s always about the children in our nurseries.The right to work in the UKTeam leadership and strong relationship building skillLevel 3 or above childcare qualificationGood ideas on how to maintain high quality and ratio bound environmentsAn ability to safeguard and protect children To be reliable positive and friendly {AdCopy12}{AdCopy13}{AdCopy14}{AdCopy15}About the nurseryRated Good by Ofsted Playhouse Nursery and Pre-School provides Early Years education and care to children from birth to 5 years old. You can find us in Fordham Park close to New Cross and New Cross Gate stations. We’rea spacious modern nursery with separate rooms and gardens for different age groups. Apply nowContact us today our friendly recruiters are waiting to hear from you.{NurseryDesc3}{NurseryDesc4},New Cross,London,London,32500,Permanent,
Assistant Pre School Manager,Deputy/Assistant Nursery Manager,£1 - £30000/annum,Mill Hill,Permanent,Are you passionate about early childhood development and ready to take on a leadership role?Mill Hill Busy Bees Day Nursery are seeking a highly motivated and experienced Deputy/Assistant Nursery Manager to join our dedicated team to contribute to the growth and success of our nurturing setting. Our nursery is in close proximity of the shopping and transport amenities at Mill Hill Broadway including Thameslink Station. Stunning detached property with free parking. We have Montessori qualification training opportunities and enhanced salaries for Montessori trained staff.About our BenefitsAs an Assistant Nursery Manager we offer a salary of up to £30k per annum plus you will also be entitled to:  28 days holiday per year (inc bank holidays) - because we all need time to relax and revitalize! Your Birthday off... on us!  Childcare Discounts - generous discount of up to 50%.Health & Wellbeing Apps - Confidential Employee Assistance Program as well as Peppy and Mental Health support.NEST Pension with a 3% employer contribution.Enhanced family leave.And so much more such as well-being benefits Cycle to work – get to work get fit go green and save money! Compassionate leave and support Smart Hive – our amazing benefits platform which you can explore and find discounts for some of your favourite places! As the Nursery Assistant Manager you will work closely with the Nursery Manager to oversee the day-to-day activities and provide exemplary care to our children. Your responsibilities will include:Ensuring every individual child’s needs are met including supporting parents with any SEND/ASL needs.Establishing strong relationships with parents and guardians ensuring effective communication.Assist the Nursery Manager in ensuring that all complaints and concerns are actively resolved in a timely manner and that these are reported to the Regional ManagerSupport supervise train and appraise all staff to ensure delivery of high-quality childcare practice and develop open and positive working relationships with colleagues.Ensure we encourage and praise children’s development and achievements.Assisting in maintaining regulatory compliance and ensuring the highest standards of health and safety.*To apply for this role you must hold at least a Level 3 Childcare qualification and managerial experience* About the BusinessA career at Busy Bees is exciting dynamic and always evolving. We offer a fantastic opportunity to work and learn on the job with leading Practitioners and Educators in the industry along with best-in-sector training and support in child development. Here are just a few reasons why a career at Busy Bees is just that little bit more extraordinary which is reflected in our 40 years of success.About the CultureAt Busy Bees our purpose and values are at the heart of what we do. They reflect how our colleagues work treat each other and interact with the communities around us. As part of our inclusive culture we encourage applications across all cultural backgrounds genders and abilities.,Mill Hill,None,None,15000.5,Permanent,
Assistant Pre School Manager,Front of House Manager,£30000/annum,Uttoxeter,Permanent,Location: Denstone College Uttoxeter ST14 5HNContract: Full time PermanentSalary: £30000 per annum This is an exciting opportunity for someone experienced in the hospitality sector to join our friendly and supportive Catering team as a Front of House Manager. If you have experience of management leadership or supervision in the hospitality sector we would like to hear from you! The successful candidate will work to provide an efficient and professional Front of House service in our newly refurbished dining hall and for all other internal hospitality functions providing customers using the catering services at Denstone College with the highest possible standards of service. Beginning life as a school in 1873 Denstone College is a thriving co-educational boarding and day school situated close to Uttoxeter. It has its own preparatory school which has recently moved onto the main campus providing continuous education on the same site for pupils aged from 4–18. The school is part of the Woodard Corporation and the Head is in membership of HMC. The successful candidate must demonstrate: Catering and Hospitality qualification or relevant experienceExperience of leading or managing a teamFood Hygiene Level 2 certificate is desiredAbility to Lead a team through a busy serviceAbility to manage functions successfullyAbility to be initiative and creative What we can offer you: To be part of our Denstone College team combining its rich tradition and history with a forward-thinking approach to educational excellenceWorking in beautiful surroundingsFriendly and supportive environmentA commitment to professional development and career progressionFree parkingFree mealEAP (Employee Assistant Program)Enrolment into a pension schemeAccess to on site facilities such as gym swim and exercise classesUniforms provided if requiredWe are proud to be a Real Living Wage employer Denstone College is committed to safeguarding and promoting the welfare of children and young people and expects all our staff to share this commitment. The successful candidate will be subject to an enhanced DBS and pre-employment checks. Please note we encourage early applications as we reserve the right to close this vacancy prior to the closing date. For more information please contact recruitment@denstonecollege.net You may have experience in the following: Front of House Manager Guest Services Manager Front Desk Manager Customer Experience Manager Hospitality Manager Guest Relations Manager Reception Manager Hotel Operations Manager etc. REF-(phone number removed),Uttoxeter,Staffordshire,West Midlands,30000,Permanent,
